Npart	Sol	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
4	1	18	lc	True	True	False	True	3	2	7	7
4	2	18	lc	True	True	False	True	3	2	7	7
4	3	18	lc	True	True	False	True	3	2	7	7
4	4	18	lc	True	True	False	True	3	2	7	7
4	5	18	lc	True	True	False	True	3	2	7	7
4	6	18	lc	True	True	False	True	3	2	7	7
4	7	18	lc	True	True	False	True	3	2	7	7
4	8	18	lc	True	True	False	True	3	2	7	7
4	10	18	lc	True	True	False	True	3	2	7	7
4	11	18	lc	True	True	False	True	3	2	7	7
4	14	18	lc	True	True	False	True	3	2	7	7
4	15	18	lc	True	True	False	True	3	2	7	7
4	18	18	lc	True	True	False	True	3	2	7	7
4	19	18	lc	True	True	False	True	3	2	7	7
4	20	18	lc	True	True	False	True	3	2	7	7
4	22	18	lc	True	True	False	True	3	2	7	7
4	25	18	lc	True	True	False	True	3	2	7	7
4	27	18	lc	True	True	False	True	3	2	7	7
4	29	18	lc	True	True	False	True	3	2	7	7
4	30	18	lc	True	True	False	True	3	2	7	7
3	0	18	lc	True	True	True	True	2	2	5	5
3	1	18	lc	True	True	True	True	2	2	5	5
3	3	18	lc	True	True	True	True	2	2	5	5
3	4	18	lc	True	True	True	True	2	2	5	5
3	5	18	lc	True	True	True	True	2	2	5	5
3	6	18	lc	True	True	True	True	2	2	5	5
3	7	18	lc	True	True	True	True	2	2	5	5
3	8	18	lc	True	True	True	True	2	2	5	5
3	9	18	lc	True	True	True	True	2	2	5	5
3	10	18	lc	True	True	True	True	2	2	5	5
3	11	18	lc	True	True	True	True	2	2	5	5
3	15	18	lc	True	True	True	True	2	2	5	5
3	16	18	lc	True	True	True	True	2	2	5	5
3	17	18	lc	True	True	True	True	2	2	5	5
3	18	18	lc	True	True	True	True	2	2	5	5
3	19	18	lc	True	True	True	True	2	2	5	5
3	20	18	lc	True	True	True	True	2	2	5	5
3	21	18	lc	True	True	True	True	2	2	5	5
3	22	18	lc	True	True	True	True	2	2	5	5
3	23	18	lc	True	True	True	True	2	2	5	5
3	24	18	lc	True	True	True	True	2	2	5	5
3	25	18	lc	True	True	True	True	2	2	5	5
3	26	18	lc	True	True	True	True	2	2	5	5
3	27	18	lc	True	True	True	True	2	2	5	5
3	29	18	lc	True	True	True	True	2	2	5	5
3	32	18	lc	True	True	True	True	2	2	5	5
3	33	18	lc	True	True	True	True	2	2	5	5
3	34	18	lc	True	True	True	True	2	2	5	5
3	35	18	lc	True	True	True	True	2	2	5	5
3	36	18	lc	True	True	True	True	2	2	5	5
3	37	18	lc	True	True	True	True	2	2	5	5
3	41	18	lc	True	True	True	True	2	2	5	5
3	42	18	lc	True	True	True	True	2	2	5	5
3	43	18	lc	True	True	True	True	2	2	5	5
3	44	18	lc	True	True	True	True	2	2	5	5
3	45	18	lc	True	True	True	True	2	2	5	5
3	46	18	lc	True	True	True	True	2	2	5	5
3	47	18	lc	True	True	True	True	2	2	5	5
3	48	18	lc	True	True	True	True	2	2	5	5
3	49	18	lc	True	True	True	True	2	2	5	5
3	50	18	lc	True	True	True	True	2	2	5	5
3	51	18	lc	True	True	True	True	2	2	5	5
3	52	18	lc	True	True	True	True	2	2	5	5
3	55	18	lc	True	True	True	True	2	2	5	5
3	56	18	lc	True	True	True	True	2	2	5	5
3	57	18	lc	True	True	True	True	2	2	5	5
3	60	18	lc	True	True	True	True	2	2	5	5
3	62	18	lc	True	True	True	True	2	2	5	5
3	63	18	lc	True	True	True	True	2	2	5	5
3	64	18	lc	True	True	True	True	2	2	5	5
3	65	18	lc	True	True	True	True	2	2	5	5
3	67	18	lc	True	True	True	True	2	2	5	5
3	69	18	lc	True	True	True	True	2	2	5	5
3	71	18	lc	True	True	True	True	2	2	5	5
3	72	18	lc	True	True	True	True	2	2	5	5
3	73	18	lc	True	True	True	True	2	2	5	5
3	74	18	lc	True	True	True	True	2	2	5	5
3	76	18	lc	True	True	True	True	2	2	5	5
3	78	18	lc	True	True	True	True	2	2	5	5
3	79	18	lc	True	True	True	True	2	2	5	5
3	80	18	lc	True	True	True	True	2	2	5	5
2	0	18	lc	True	True	True	True	1	1	3	3
2	6	18	lc	True	True	True	True	1	1	3	3
