path	1
T	NA
cut	31
Partition 0	9,15,30,43,53,60,80,85,93
Partition 1	1,10,41,44,45,62,47,82,90,94
Partition 2	7,8,40,88,27,42,95,59,99
Partition 3	0,12,13,19,31,65,92,64,77
Partition 4	24,55,74,11,32,39,81,97,73
Partition 5	18,3,6,17,21,38,91,22,37
Partition 6	2,5,20,71,48,52,72,50,69
Partition 7	36,46,26,34,35,75,56,63,79
Partition 8	14,29,16,57,23,33,51,61,66,84
Partition 9	4,25,28,49,58,67,70,76,87,68
Partition 10	54,78,83,86,89,96,98
path	2
T	NA
cut	31
Partition 0	9,15,30,43,53,60,80,85,93
Partition 1	1,10,41,44,45,62,47,82,90,94
Partition 2	7,8,40,88,27,42,95,59,99
Partition 3	0,12,13,19,31,65,92,64,77
Partition 4	24,55,74,11,32,39,81,97,73
Partition 5	18,3,6,17,21,38,91,22,37
Partition 6	2,5,20,71,48,52,72,50,69
Partition 7	36,46,26,34,35,75,56,63,79
Partition 8	14,29,16,57,23,33,51,61,66,84
Partition 9	4,25,28,49,58,67,70,76,87,68
Partition 10	54,78,83,86,89,96,98
path	3
T	NA
cut	31
Partition 0	9,15,30,43,53,60,80,85,93
Partition 1	1,10,41,44,45,62,47,82,90,94
Partition 2	7,8,40,88,27,42,95,59,99
Partition 3	0,12,13,19,31,65,92,64,77
Partition 4	24,55,74,11,32,39,81,97,73
Partition 5	18,3,6,17,21,38,91,22,37
Partition 6	2,5,20,71,48,52,72,50,69
Partition 7	36,46,26,34,35,75,56,63,79
Partition 8	14,29,16,57,23,33,51,61,66,84
Partition 9	4,25,28,49,58,67,70,76,87,68
Partition 10	54,78,83,86,89,96,98
