path	1
T	NA
cut	16
Partition 0	3,4,5,6,56,74,10,73
Partition 1	0,1,98,37,76,31,32,38
Partition 2	9,17,16,15,66,96,58
Partition 3	11,12,13,81,14,68,67
Partition 4	44,43,75,93,69,61
Partition 5	8,70,71,40,41,63,62,72,64,65
Partition 6	99,28,94,95,25,27,26
Partition 7	19,18,20,21,36,23,22,24
Partition 8	89,88,30,55,87,86
Partition 9	92,7,29,42,97,91
Partition 10	39,83,85,34,33,54,84,82,77
Partition 11	80,2,52,79,60,50,51,57,90,78
Partition 12	47,46,45,49,48
Partition 13	59
Partition 15	53
Partition 17	35
path	2
T	NA
cut	17
Partition 0	3,4,5,6,56,74,73
Partition 1	0,1,98,37,76,31,53,32
Partition 2	10,9,17,16,15,66,96,58,65
Partition 3	11,12,13,81,14,68,67
Partition 4	71,44,43,75,93,69,72,61
Partition 5	8,70,40,41,63,62,64
Partition 6	99,28,94,95,25,27,26
Partition 7	19,18,20,21,23,22,24
Partition 8	89,88,30,55,87,86
Partition 9	92,7,29,36,35,39,38,42,97,91
Partition 10	83,85,34,33,54,84,82,77
Partition 11	80,2,52,79,60,50,51,59,78
Partition 12	47,46,45,49,48,57,90
path	3
T	NA
cut	16
Partition 0	3,4,5,6,56,74,10,73
Partition 1	0,1,98,37,76,31,53,32
Partition 2	9,17,16,15,66,96,58,64,65
Partition 3	11,12,13,81,14,68,67
Partition 4	8,70,71,44,43,75,93,69,72,61
Partition 5	40,41,63,62
Partition 6	99,28,94,95,25,27,26
Partition 7	19,18,20,21,23,22,24
Partition 8	89,88,30,55,87,86
Partition 9	92,7,36,35,42,97,91
Partition 10	29,39,83,85,34,33,54,84,82,77
Partition 11	80,2,52,79,60,50,51,57,90,78
Partition 12	47,46,45,49,48
Partition 15	59
Partition 20	38
